school_name,borough_x,building_code_x,average_math_x,average_reading_x,average_writing_x,percent_tested_x,borough_y,building_code_y,average_math_y,average_reading_y,average_writing_y,percent_tested_y
High School of Fashion Industries,Manhattan,M600,433,442,427,80.6,Manhattan,M600,433,442,427,80.6
High School of Hospitality Management,Manhattan,M535,451,433,424,,Manhattan,M535,451,433,424,
High School of Language and Innovation,Bronx,X415,356,340,320,72.7,Bronx,X415,356,340,320,72.7
High School of Sports Management,Brooklyn,K400,367,374,361,56.2,Brooklyn,K400,367,374,361,56.2
High School of Telecommunication Arts and Technology,Brooklyn,K485,475,440,445,81.6,Brooklyn,K485,475,440,445,81.6
High School of World Cultures,Bronx,X420,356,359,347,38.2,Bronx,X420,356,359,347,38.2
Hillcrest High School,Queens,Q505,448,432,426,,Queens,Q505,448,432,426,
Hillside Arts and Letters Academy,Queens,Q470,409,399,404,62.6,Queens,Q470,409,399,404,62.6
Holcombe L. Rucker School of Community Research,Bronx,X039,376,372,369,59.0,Bronx,X039,376,372,369,59.0
Hostos-Lincoln Academy of Science,Bronx,X162,463,451,435,80.0,Bronx,X162,463,451,435,80.0
Hudson High School of Learning Technologies,Manhattan,M440,378,407,388,71.8,Manhattan,M440,378,407,388,71.8
Humanities and Arts Magnet High School,Queens,Q490,384,409,401,,Queens,Q490,384,409,401,
In-Tech Academy,Bronx,X368,426,419,404,85.9,Bronx,X368,426,419,404,85.9
Information Technology High School,Queens,Q725,443,420,411,58.8,Queens,Q725,443,420,411,58.8
Institute for Collaborative Education,Manhattan,M475,501,550,541,78.6,Manhattan,M475,501,550,541,78.6
International Community High School,Bronx,X139,345,338,312,58.2,Bronx,X139,345,338,312,58.2
International High School at LaGuardia Community College,Queens,Q520,425,367,365,71.7,Queens,Q520,425,367,365,71.7
International High School at Lafayette,Brooklyn,K400,424,343,337,84.3,Brooklyn,K400,424,343,337,84.3
International High School at Prospect Heights,Brooklyn,K440,344,302,300,81.7,Brooklyn,K440,344,302,300,81.7
International High School at Union Square,Manhattan,M460,403,330,316,53.2,Manhattan,M460,403,330,316,53.2
International School for Liberal Arts,Bronx,X430,390,387,379,19.2,Bronx,X430,390,387,379,19.2
It Takes a Village Academy,Brooklyn,K415,364,374,361,62.2,Brooklyn,K415,364,374,361,62.2
Jacqueline Kennedy Onassis High School,Manhattan,M486,418,422,415,,Manhattan,M486,418,422,415,
Jamaica Gateway to the Sciences,Queens,Q470,487,460,463,78.6,Queens,Q470,487,460,463,78.6
James Madison High School,Brooklyn,K425,492,450,444,69.0,Brooklyn,K425,492,450,444,69.0
John Adams High School,Queens,Q480,418,401,395,38.4,Queens,Q480,418,401,395,38.4
John Bowne High School,Queens,Q425,467,422,425,62.1,Queens,Q425,467,422,425,62.1
John Dewey High School,Brooklyn,K540,512,418,396,62.7,Brooklyn,K540,512,418,396,62.7
Juan Morel Campos Secondary School,Brooklyn,K071,366,356,353,56.3,Brooklyn,K071,366,356,353,56.3
Kingsborough Early College School,Brooklyn,K400,474,462,449,65.8,Brooklyn,K400,474,462,449,65.8
Kingsbridge International High School,Bronx,X430,366,311,310,,Bronx,X430,366,311,310,
Knowledge and Power Preparatory Academy International High School (KAPPA),Bronx,X435,408,417,404,66.7,Bronx,X435,408,417,404,66.7
Kurt Hahn Expeditionary Learning School,Brooklyn,K415,378,394,388,72.6,Brooklyn,K415,378,394,388,72.6
Landmark High School,Manhattan,M440,386,386,386,30.6,Manhattan,M440,386,386,386,30.6
Leadership and Public Service High School,Manhattan,M894,390,396,392,54.9,Manhattan,M894,390,396,392,54.9
Leon M. Goldstein High School for the Sciences,Brooklyn,K535,563,534,543,94.0,Brooklyn,K535,563,534,543,94.0
Life Academy High School for Film and Music,Brooklyn,K400,369,379,378,70.2,Brooklyn,K400,369,379,378,70.2
Life Sciences Secondary School,Manhattan,M645,435,440,425,63.0,Manhattan,M645,435,440,425,63.0
Long Island City High School,Queens,Q452,430,423,412,51.6,Queens,Q452,430,423,412,51.6
Lower Manhattan Arts Academy,Manhattan,M445,418,428,415,65.1,Manhattan,M445,418,428,415,65.1
Lyons Community School,Brooklyn,K049,374,376,357,56.3,Brooklyn,K049,374,376,357,56.3
Manhattan / Hunter Science High School,Manhattan,M490,581,531,535,97.2,Manhattan,M490,581,531,535,97.2
Manhattan Academy for Arts and Language,Manhattan,M620,350,334,321,46.1,Manhattan,M620,350,334,321,46.1
Manhattan Bridges High School,Manhattan,M535,409,360,347,84.4,Manhattan,M535,409,360,347,84.4
Manhattan Business Academy,Manhattan,M440,410,407,399,69.7,Manhattan,M440,410,407,399,69.7
Manhattan Center for Science and Mathematics,Manhattan,M435,556,505,495,87.6,Manhattan,M435,556,505,495,87.6
Manhattan International High School,Manhattan,M480,438,358,382,58.6,Manhattan,M480,438,358,382,58.6
Manhattan Village Academy,Manhattan,M873,522,479,510,98.8,Manhattan,M873,522,479,510,98.8
Marble Hill High School for International Studies,Bronx,X475,451,417,423,92.9,Bronx,X475,451,417,423,92.9
"Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,X143,423,420,425,68.6,Bronx,X143,423,420,425,68.6
Marta Valle High School,Manhattan,M025,438,413,394,35.6,Manhattan,M025,438,413,394,35.6
Martin Van Buren High School,Queens,Q435,397,396,391,40.0,Queens,Q435,397,396,391,40.0
Maspeth High School,Queens,Q585,476,471,480,90.0,Queens,Q585,476,471,480,90.0
"Mathematics, Science Research, and Technology Magnet High School",Queens,Q490,380,418,388,54.9,Queens,Q490,380,418,388,54.9
Medgar Evers College Preparatory School,Brooklyn,K590,525,500,481,89.0,Brooklyn,K590,525,500,481,89.0
Metropolitan High School,Bronx,X099,387,388,386,65.9,Bronx,X099,387,388,386,65.9
Metropolitan Soundview High School,Bronx,X420,444,428,422,52.0,Bronx,X420,444,428,422,52.0
Michael J. Petrides School,Staten Island,R880,483,473,470,79.2,Staten Island,R880,483,473,470,79.2
Middle College High School at LaGuardia Community College,Queens,Q520,377,389,377,48.7,Queens,Q520,377,389,377,48.7
Midwood High School,Brooklyn,K405,550,514,516,85.7,Brooklyn,K405,550,514,516,85.7
Millennium Art Academy,Bronx,X450,396,413,395,39.2,Bronx,X450,396,413,395,39.2
Millennium Brooklyn High School,Brooklyn,K460,553,551,539,79.6,Brooklyn,K460,553,551,539,79.6
Millennium High School,Manhattan,M824,577,560,567,94.0,Manhattan,M824,577,560,567,94.0
Monroe Academy for Visual Arts and Design,Bronx,X420,361,354,351,46.8,Bronx,X420,361,354,351,46.8
Morris Academy for Collaborative Studies,Bronx,X400,407,389,386,44.8,Bronx,X400,407,389,386,44.8
Mott Hall Bronx High School,Bronx,X970,417,399,398,46.2,Bronx,X970,417,399,398,46.2
Mott Hall High School,Manhattan,M136,416,445,440,36.9,Manhattan,M136,416,445,440,36.9
Mott Hall V,Bronx,X423,430,422,414,77.5,Bronx,X423,430,422,414,77.5
Mott Haven Village Preparatory High School,Bronx,X470,377,373,369,44.9,Bronx,X470,377,373,369,44.9
Multicultural High School,Brooklyn,K420,319,323,284,,Brooklyn,K420,319,323,284,
Murry Bergtraum High School for Business Careers,Manhattan,M520,418,415,398,44.3,Manhattan,M520,418,415,398,44.3
NYC Lab School for Collaborative Studies,Manhattan,M070,595,550,555,79.8,Manhattan,M070,595,550,555,79.8
NYC Museum School,Manhattan,M070,560,530,522,90.0,Manhattan,M070,560,530,522,90.0
NYC iSchool,Manhattan,M615,518,515,503,96.0,Manhattan,M615,518,515,503,96.0
New Design High School,Manhattan,M445,381,396,372,73.7,Manhattan,M445,381,396,372,73.7
New Dorp High School,Staten Island,R435,454,446,444,63.7,Staten Island,R435,454,446,444,63.7
"New Explorations into Science, Technology and Math High School",Manhattan,M022,657,601,601,,Manhattan,M022,657,601,601,
New Explorers High School,Bronx,X790,390,398,376,30.4,Bronx,X790,390,398,376,30.4
New Utrecht High School,Brooklyn,K445,488,422,417,63.2,Brooklyn,K445,488,422,417,63.2
New World High School,Bronx,X362,407,363,358,93.0,Bronx,X362,407,363,358,93.0
Newcomers High School,Queens,Q450,490,374,381,47.1,Queens,Q450,490,374,381,47.1
Newtown High School,Queens,Q455,434,401,389,39.1,Queens,Q455,434,401,389,39.1
PROGRESS High School for Professional Careers,Brooklyn,K450,380,377,384,44.9,Brooklyn,K450,380,377,384,44.9
Pablo Neruda Academy,Bronx,X450,394,384,383,44.2,Bronx,X450,394,384,383,44.2
Pace High School,Manhattan,M131,430,435,427,87.8,Manhattan,M131,430,435,427,87.8
Pan American International High School,Queens,Q744,340,320,318,31.9,Queens,Q744,340,320,318,31.9
Pan American International High School at Monroe,Bronx,X420,317,315,292,65.6,Bronx,X420,317,315,292,65.6
Park East High School,Manhattan,M495,429,433,435,89.6,Manhattan,M495,429,433,435,89.6
Park Slope Collegiate,Brooklyn,K460,405,377,395,59.6,Brooklyn,K460,405,377,395,59.6
Pathways College Preparatory School (College Board),Queens,Q192,405,427,409,72.4,Queens,Q192,405,427,409,72.4
Pathways in Technology Early College High School,Brooklyn,K625,446,442,410,69.4,Brooklyn,K625,446,442,410,69.4
Peace and Diversity Academy,Bronx,X099,366,362,365,27.1,Bronx,X099,366,362,365,27.1
Pelham Preparatory Academy,Bronx,X415,420,433,425,77.0,Bronx,X415,420,433,425,77.0
Performing Arts and Technology High School,Brooklyn,K435,375,393,394,39.8,Brooklyn,K435,375,393,394,39.8
Port Richmond High School,Staten Island,R445,432,427,425,44.6,Staten Island,R445,432,427,425,44.6
Preparatory Academy for Writers (College Board),Queens,Q420,398,410,393,69.5,Queens,Q420,398,410,393,69.5
Professional Performing Arts High School,Manhattan,M017,496,520,516,72.2,Manhattan,M017,496,520,516,72.2
Queens Collegiate (College Board),Queens,Q470,455,439,441,74.8,Queens,Q470,455,439,441,74.8
Queens Gateway to Health Sciences Secondary School,Queens,Q695,524,511,514,92.5,Queens,Q695,524,511,514,92.5
"Queens High School for Information, Research, and Technology",Queens,Q465,372,362,352,44.6,Queens,Q465,372,362,352,44.6
Queens High School for the Sciences at York College,Queens,Q774,701,621,625,97.9,Queens,Q774,701,621,625,97.9
"Queens High School of Teaching, Liberal Arts, and the Sciences",Queens,Q566,453,434,439,72.4,Queens,Q566,453,434,439,72.4
Queens Metropolitan High School,Queens,Q686,460,448,449,76.4,Queens,Q686,460,448,449,76.4
Queens Preparatory Academy,Queens,Q420,423,422,403,83.7,Queens,Q420,423,422,403,83.7
Queens School of Inquiry,Queens,Q168,516,493,486,88.2,Queens,Q168,516,493,486,88.2
Queens Vocational and Technical High School,Queens,Q600,467,436,432,53.4,Queens,Q600,467,436,432,53.4
Rachel Carson High School for Coastal Studies,Brooklyn,K303,436,430,421,68.4,Brooklyn,K303,436,430,421,68.4
Ralph R. McKee Career and Technical Education High School,Staten Island,R600,420,429,409,38.0,Staten Island,R600,420,429,409,38.0
